REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,HP Greeting Cards,Greeting Cards,Friendship,,,3041676,50,A Blessing Few Receive<br>Add-a-Photo,45417,118,153,309,400,<b>Cover Verse:</b><br><br>For Pat<br><br>Friends are<br>a wonderful reflection<br>of God's special love.<br><br>A friend loves at all times...<br>Proverbs 17:17<br><br><b>Inside Verse:</b><br><br>I've often thought that having<br>Such a special friend as you<br>Is certainly a blessing<br>That is granted very few...<br><br>That's why so very many times.<br>My thoughts become a prayer<br>That God will always keep you<br>In His kind and loving care.<br>
XC,HP Greeting Cards,Greeting Cards,Get Well,,,2014853,10,Bouquet & Butterfly,45418,153,95,400,250,<b>Cover Verse:</b><br><br>Barbara. if you get a lot of rest And you do the things you should. It won't be very long Before you're feeling good&#133;<br><br><br><b>Inside Verse:</b><br><br>And since a loving thought Can work some magic. too. Here's a special heartfelt wish That you'll soon be good as new!
XC,HP Greeting Cards,Greeting Cards,Get Well,,,3056286,20,Better Every Day<br>Add-a-Photo,45418,118,153,309,400,<b>Cover Verse:</b><br><br>Hi. Robin!<br>Just peeking in to say...<br><br><b>Inside Verse:</b><br><br>Hope you're getting better<br>with each and every day!<br><br>Get Well Soon
XC,HP Greeting Cards,Greeting Cards,Get Well,,,3056298,30,Sending Sunshine<br>Add-a-Photo,45418,153,99,400,259,<b>Cover Verse:</b><br><br>Kelly.<br>sending you<br>warm thoughts<br>of<br>sunshine<br>and healing...<br><br><b>Inside Verse:</b><br><br>Hope today<br>finds you<br>smiling.
XC,HP Greeting Cards,Greeting Cards,Good Bye,,,3041626,5,No One Like Us There<br>Add-a-Photo,45419,99,153,259,400,<b>Cover Verse:</b><br><br>Ian --<br>Wherever you go. you will NEVER<br> find anyone quite like us!<br><br><b>Inside Verse:</b><br><br>Which is probably why<br>you're going there.<br><br>Good-Bye!<br>Best of Luck!<br>From Carl. Bryce. and Al<br>
XC,HP Greeting Cards,Greeting Cards,Good Bye,,,3056287,10,Best Wishes<br>Add-a-Photo,45419,99,153,259,400,<b>Cover Verse:</b><br><br>Wishing You<br>the Best of Luck.<br>Tara<br><br><b>Inside Verse:</b><br><br>With warm<br>congratulations<br>for beginning<br>something new --<br>May you reach<br>the goals you hope for<br>and make all your dreams<br>come true.
XC,HP Greeting Cards,Greeting Cards,Just Because,,,3041978,5,A Memory Isn't Enough<br>Add-a-Photo,45425,153,99,400,259,<b>Cover Verse:</b><br><br>Memories can't take your place...<br><br><b>Inside Verse:</b><br><br>I miss you.<br>
XC,HP Greeting Cards,Greeting Cards,Just Because,,,3041635,15,Meet for a Cool Drink<br>Add-a-Photo,45425,153,118,400,309,<b>Cover Verse:</b><br><br>It's almost Autumn<br>but it's still so hot!<br><br><b>Inside Verse:</b><br><br>We must get together soon<br>for a cool drink.<br>
XC,HP Greeting Cards,Greeting Cards,Just Because,,,2014073,30,Star & Hearts,45425,95,153,250,400,<b>Cover Verse:</b><br>Just for You. Dana We always have a lot of fun Whenever we're together&#133<br><br><br><b>Inside Verse:</b><br>That's why I wish the time we share Could last until forever!<br>
XC,HP Greeting Cards,Greeting Cards,Just Because,,,3056290,50,In My Thoughts<br>Add-a-Photo,45425,118,153,309,400,<b>Cover Verse:</b><br><br>You're in my thoughts...<br><br><b>Inside Verse:</b><br><br>...today and always.
XC,HP Greeting Cards,Greeting Cards,Just Because,,,3056291,60,Remember Me?<br>Add-a-Photo,45425,118,153,309,400,<b>Cover Verse:</b><br><br>Hey. Adrian --<br>Remember me?<br><br>[PETER MARTIN]<br><br><b>Inside Verse:</b><br><br>Whaddya mean --<br>Peter Martin who?
XC,HP Greeting Cards,Greeting Cards,Just Because,,,3056302,70,Perky!<br>Add-a-Photo,45425,153,99,400,259,<b>Cover Verse:</b><br><br>Stephanie.<br>Just thinking of you...<br><br><b>Inside Verse:</b><br><br>...always perks me up!
XC,HP Greeting Cards,Greeting Cards,Love,,,3021696,10,In Your Arms<br>Add-a-Photo,45426,99,153,259,400,<b>Cover Verse:</b><br><br>Bruce.<br><br>Of all the places <br>in the world I like...<br><br><b>Inside Verse:</b><br><br>I like being in your arms <br>the best!
XC,HP Greeting Cards,Greeting Cards,Love,,,2013990,20,Bears and Basket,45426,115,153,300,400,<b>Cover Verse:</b><br><br>Micky. of all the places<br>in the world I like&#133;<br><br><b>Inside Verse:</b><br><br>I like being with you<br>the best!
