Name	Page Width	Page Height	Columns	Rows	Left Margin	Top Margin	Width	Height	Width plus gap	Height plus gap	Corner type	Radius X	Paper type	Orientation	Half page perf skip	Half page row count	Description	Units
5185 Laser ColorFrames Green	12240	15840	1	1	1260	1080	9720	13680	12240	15840	1	900	0	1	0	0		1440
5196 3-1/2'' Diskette	12240	15840	3	3	180	720	3960	3960	3960	4320	1	270	0	1	0	0		1440
5197 5-1/4'' Diskette	12240	15840	2	6	225	1440	5760	2160	6031	2160	1	270	0	1	0	0		1440
5197 5-1/4'' Diskette	15840	12240	6	2	1440	225	2160	5760	2160	6031	1	270	0	0	0	0		1440
5198 Audio Cassette	12240	15840	2	6	720	720	5040	2400	5760	2400	100	360	0	1	0	0		1440
5199 Video Cassette Face	12240	15840	2	5	1539	1320	4411	2640	4752	2640	1	360	0	1	0	0		1440
5199 Video Cassette Face	15840	12240	5	2	1320	1539	2640	4411	2640	4752	1	270	0	0	0	0		1440
5199 Video Cassette Spine	12240	15840	1	15	1935	720	8371	960	8371	960	1	270	0	1	0	0		1440
5260 Address	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5260 Address	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5261 Address	12240	15840	2	10	225	720	5760	1440	6031	1440	1	270	0	1	0	0		1440
5261 Address	15840	12240	10	2	720	225	1440	5760	1440	6031	1	270	0	0	0	0		1440
5262 Address	12240	15840	2	7	225	1200	5760	1920	6031	1920	1	270	0	1	0	0		1440
5262 Address	15840	12240	7	2	1200	225	1920	5760	1920	6031	1	270	0	0	0	0		1440
5263 Address	12240	15840	2	5	225	720	5760	2880	6031	2880	0	0	0	1	0	0		1440
5266 File Folder	12240	15840	2	15	765	720	4951	960	5760	960	1	360	0	1	0	0		1440
5267 Return Address	12240	15840	4	20	405	720	2520	720	2971	720	1	270	0	1	0	0		1440
5267 Return Address	15840	12240	20	4	720	449	720	2520	720	2952	1	270	0	0	0	0		1440
5277 Ink Jet Transparencies	15840	12240	1	1	0	0	15840	12240	15840	12240	0	0	0	0	0	0		1440
5277 Ink Jet Transparencies	12240	15840	1	1	0	0	12240	15840	12240	15840	0	0	0	1	0	0		1440
5282 Laser Transparencies	15840	12240	1	1	0	0	15840	12240	15840	12240	0	0	0	0	0	0		1440
5282 Laser Transparencies	12240	15840	1	1	0	0	12240	15840	12240	15840	0	0	0	1	0	0		1440
5285 Laser ColorFrames Assorted	15840	12240	1	1	1080	1260	13680	9720	15840	12240	1	900	0	0	0	0		1440
5285 Laser ColorFrames Assorted	12240	15840	1	1	1260	1080	9720	13680	12240	15840	1	900	0	1	0	0		1440
5286 Laser ColorFrames Blue	15840	12240	1	1	1080	1260	13680	9720	15840	12240	1	900	0	0	0	0		1440
5286 Laser ColorFrames Blue	12240	15840	1	1	1260	1080	9720	13680	12240	15840	1	900	0	1	0	0		1440
5293 Round	12240	15840	4	6	631	720	2340	2340	2880	2400	2	0	0	1	0	0		1440
5294 Round	12240	15840	3	4	360	720	3600	3600	3960	3600	2	0	0	1	0	0		1440
5295 Round	12240	15840	2	3	900	720	4800	4800	5669	4800	2	0	0	1	0	0		1440
5366 File Folder - White	12240	15840	2	15	765	720	4951	960	5760	960	1	360	0	1	0	0		1440
5371 Business Card	12240	15840	2	5	1080	720	5040	2880	5040	2880	0	0	0	1	0	0		1440
5371 Business Card	15840	12240	5	2	720	1080	2880	5040	2880	5040	0	0	0	0	0	0		1440
5383 Name Tag	12240	15840	2	4	1080	1680	5040	3120	5040	3120	0	0	0	1	0	0		1440
5383 Name Tag	15840	12240	4	2	1680	1080	3120	5040	3120	5040	0	0	0	0	0	0		1440
5384 Name Tag	12240	15840	2	3	360	1440	5760	4320	5760	4320	0	0	0	1	0	0		1440
5384 Name Tag	15840	12240	3	2	1620	360	4320	5760	4320	5760	0	0	0	0	0	0		1440
5385 Rotary Index Card	12240	15840	2	4	360	1680	5760	3120	5760	3120	101	0	0	1	0	0		1440
5385 Rotary Index Card	15840	12240	4	2	1680	360	3120	5760	3120	5760	101	0	0	0	0	0		1440
5386 Rotary Index Card	12240	15840	1	3	2520	1440	7200	4320	7200	4320	102	0	0	1	0	0		1440
5386 Rotary Index Card	15840	12240	3	1	1440	2520	4320	7200	4320	7200	102	0	0	0	0	0		1440
5388 Index Card	12240	15840	1	3	2520	1440	7200	4320	7200	4320	0	0	0	1	0	0		1440
5388 Index Card	15840	12240	3	1	1440	2520	4320	7200	4320	7200	0	0	0	0	0	0		1440
5389 Index/Post Card	12240	15840	1	2	1800	2160	8640	5760	8640	5760	0	0	0	1	0	0		1440
5389 Index/Post Card	15840	12240	2	1	2160	1800	5760	8640	5760	8640	0	0	0	0	0	0		1440
5395 Name Badge	12240	15840	2	4	991	840	4860	3360	5400	3600	1	360	0	1	0	0		1440
5395 Name Badge	15840	12240	4	2	840	991	3360	4860	3600	5400	1	360	0	0	0	0		1440
5660 Clear Address	12240	15840	3	10	0	720	4080	1440	4080	1440	0	270	0	1	0	0		1440
5660 Clear Address	15840	12240	10	3	720	0	1440	4080	1440	4080	0	270	0	0	0	0		1440
5661 Clear Address	12240	15840	2	10	0	720	6120	1440	6120	1440	0	0	0	1	0	0		1440
5661 Clear Address	15840	12240	10	2	720	0	1440	6120	1440	6120	0	0	0	0	0	0		1440
5662 Clear Address	12240	15840	2	7	0	1202	6120	1920	6120	1920	0	270	0	1	0	0		1440
5662 Clear Address	15840	12240	7	2	1202	0	1920	6120	1920	6120	0	270	0	0	0	0		1440
5663 Clear Address	12240	15840	2	5	0	720	6120	2880	6120	2880	0	540	0	1	0	0		1440
5663 Clear Address	15840	12240	5	2	720	0	2880	6120	2880	6120	0	540	0	0	0	0		1440
5664 Clear Address/Shipping	12240	15840	2	3	0	720	6120	4800	6120	4800	0	540	0	1	0	0		1440
5664 Clear Address/Shipping	15840	12240	3	2	720	225	4800	5760	4800	6031	0	540	0	0	0	0		1440
5667 Clear Return Address	12240	15840	4	20	432	720	2520	720	2952	720	1	270	0	1	0	0		1440
5667 Clear Return Address	15840	12240	20	4	720	449	720	2520	720	2952	1	270	0	0	0	0		1440
5766 File Folder - Blue	12240	15840	2	15	765	720	4951	960	5760	960	1	360	0	1	0	0		1440
